Efermi (eV)	Density of charge (1/atom)	n	m	family	diameter (nm)	Ei	Ej	Plasmon freq w_p (eV)	branches	ratio	Absorption(w_p)
2.0	0.085	6	1	13	0.51	2	4	1.749	branch1	1.00	1.60
1.25	0.021	7	0	14	0.55	1	3	1.821	branch1	1.00	0.83
1.5	0.029	7	0	14	0.55	1	3	1.845	branch1	1.00	1.19
1.75	0.036	7	0	14	0.55	1	3	1.869	branch1	1.00	1.52
2.0	0.073	7	0	14	0.55	1	3	1.933	branch1	1.00	2.67
2.0	0.076	6	2	14	0.56	1	3	2.230	branch1	1.00	1.37
2.0	0.076	6	2	14	0.56	9	11	0.193	branch2	0.62	0.08
1.75	0.065	8	0	16	0.63	1	2	1.492	branch1	0.12	1.17
1.75	0.065	8	0	16	0.63	2	4	1.492	branch1	1.00	1.17
1.75	0.062	8	1	17	0.67	1	3	1.717	branch1	1.00	1.55
2.0	0.080	8	1	17	0.67	1	3	1.733	branch1	1.00	1.60
1.5	0.035	8	1	17	0.67	1	3	1.684	branch1	1.00	0.99
1.75	0.061	6	4	16	0.68	1	3	2.374	branch1	1.00	1.91
2.0	0.075	6	4	16	0.68	2	4	2.406	branch1	0.37	2.96
2.0	0.075	6	4	16	0.68	1	3	2.406	branch1	1.00	2.96
1.75	0.061	6	4	16	0.68	2	4	2.374	branch1	0.24	1.91
2.0	0.059	9	0	18	0.70	1	2	1.404	branch1	0.42	1.08
2.0	0.059	9	0	18	0.70	0	1	1.404	branch1	1.00	1.08
2.0	0.075	7	3	17	0.70	1	3	1.933	branch1	0.61	1.17
1.75	0.060	7	3	17	0.70	1	3	1.909	branch1	0.66	1.02
2.0	0.060	8	2	18	0.72	0	1	1.548	branch1	0.10	0.96
2.0	0.060	8	2	18	0.72	0	1	1.548	branch1	1.00	0.96
2.0	0.060	8	2	18	0.72	1	2	1.548	branch1	0.45	0.96
2.0	0.072	6	5	17	0.75	2	4	2.262	branch1	0.46	3.31
2.0	0.071	9	1	19	0.75	2	4	1.476	branch1	1.00	0.85
2.0	0.072	6	5	17	0.75	2	4	1.997	branch2	0.20	0.73
2.0	0.072	6	5	17	0.75	1	3	1.997	branch2	0.70	0.73
2.0	0.072	6	5	17	0.75	1	3	2.262	branch1	0.30	3.31
1.75	0.059	8	3	19	0.77	2	4	2.166	branch1	0.13	2.31
1.75	0.059	8	3	19	0.77	1	3	2.166	branch1	1.00	2.31
2.0	0.070	8	3	19	0.77	2	4	2.182	branch1	0.14	3.06
2.0	0.070	8	3	19	0.77	1	3	2.182	branch1	1.00	3.06
2.0	0.075	10	0	20	0.78	2	4	2.342	branch1	1.00	3.25
1.75	0.060	10	0	20	0.78	1	3	1.484	branch1	1.00	1.10
2.0	0.075	10	0	20	0.78	1	3	2.342	branch1	0.17	3.25
1.75	0.059	9	2	20	0.79	2	4	2.262	branch1	1.00	2.52
2.0	0.074	9	2	20	0.79	1	3	1.564	branch2	1.00	0.99
1.75	0.059	9	2	20	0.79	1	3	2.262	branch1	0.14	2.52
1.75	0.059	9	2	20	0.79	1	3	1.556	branch2	1.00	0.97
2.0	0.074	9	2	20	0.79	2	4	2.286	branch1	1.00	3.46
2.0	0.074	9	2	20	0.79	1	3	2.286	branch1	0.13	3.46
2.0	0.080	6	6	18	0.81	0	1	1.965	branch1	0.24	2.75
2.0	0.080	6	6	18	0.81	1	2	1.965	branch1	1.00	2.75
2.0	0.079	10	1	21	0.82	0	1	1.283	branch1	0.66	1.93
1.75	0.046	10	1	21	0.82	7	8	1.267	branch1	0.24	0.88
2.0	0.068	7	5	19	0.82	1	3	2.029	branch1	1.00	4.73
1.75	0.046	10	1	21	0.82	7	6	1.267	branch1	0.36	0.88
1.75	0.057	7	5	19	0.82	1	3	1.989	branch1	1.00	3.62
1.75	0.057	7	5	19	0.82	2	4	1.989	branch1	0.42	3.62
1.75	0.046	10	1	21	0.82	0	1	1.267	branch1	1.00	0.88
1.75	0.046	10	1	21	0.82	1	2	1.267	branch1	0.95	0.88
1.5	0.045	7	5	19	0.82	1	3	1.949	branch1	1.00	2.42
1.5	0.045	7	5	19	0.82	2	4	1.949	branch1	0.37	2.42
1.75	0.046	10	1	21	0.82	6	5	1.267	branch1	0.12	0.88
2.0	0.068	7	5	19	0.82	2	4	2.029	branch1	0.46	4.73
2.0	0.079	10	1	21	0.82	1	2	1.283	branch1	1.00	1.93
2.0	0.079	10	1	21	0.82	7	6	1.283	branch1	0.23	1.93
2.0	0.079	10	1	21	0.82	6	5	1.283	branch1	0.18	1.93
2.0	0.072	8	4	20	0.83	1	3	1.660	branch2	1.00	0.84
2.0	0.072	8	4	20	0.83	1	3	2.134	branch1	0.30	4.12
2.0	0.072	8	4	20	0.83	2	4	2.134	branch1	1.00	4.12
1.75	0.057	8	4	20	0.83	1	3	1.652	branch2	1.00	0.85
1.75	0.057	8	4	20	0.83	1	3	2.102	branch1	0.29	2.91
1.75	0.057	8	4	20	0.83	2	4	2.102	branch1	1.00	2.91
2.0	0.064	11	0	22	0.86	2	4	1.332	branch2	1.00	0.79
2.0	0.064	11	0	22	0.86	1	2	1.332	branch2	0.12	0.79
2.0	0.064	11	0	22	0.86	2	4	1.981	branch1	0.19	3.26
2.0	0.064	11	0	22	0.86	1	3	1.981	branch1	1.00	3.26
1.75	0.054	11	0	22	0.86	2	4	1.307	branch2	1.00	0.69
1.75	0.054	11	0	22	0.86	2	4	1.973	branch1	0.15	2.67
1.75	0.054	11	0	22	0.86	1	3	1.973	branch1	1.00	2.67
2.0	0.064	10	2	22	0.87	2	4	1.949	branch1	0.17	3.58
2.0	0.064	10	2	22	0.87	1	3	1.949	branch1	1.00	3.58
2.0	0.064	10	2	22	0.87	2	4	1.412	branch2	1.00	0.72
1.75	0.054	10	2	22	0.87	2	4	1.933	branch1	0.16	2.89
1.75	0.054	10	2	22	0.87	1	3	1.933	branch1	1.00	2.89
2.0	0.071	7	6	20	0.88	1	3	1.949	branch1	0.41	5.39
2.0	0.071	7	6	20	0.88	2	4	1.949	branch1	0.63	5.39
1.75	0.054	7	6	20	0.88	1	3	1.901	branch1	0.44	3.98
1.5	0.044	7	6	20	0.88	1	3	1.853	branch1	0.56	2.74
1.75	0.054	7	6	20	0.88	2	4	1.901	branch1	0.59	3.98
1.5	0.044	7	6	20	0.88	2	4	1.853	branch1	0.83	2.74
1.75	0.056	11	1	23	0.90	1	3	2.005	branch1	0.14	3.72
2.0	0.077	11	1	23	0.90	2	4	2.013	branch1	1.00	4.27
1.5	0.045	11	1	23	0.90	1	3	1.981	branch1	0.13	2.65
1.5	0.043	9	4	22	0.90	2	4	1.813	branch1	0.20	2.70
1.5	0.045	11	1	23	0.90	2	4	1.981	branch1	1.00	2.65
1.75	0.053	9	4	22	0.90	2	4	1.837	branch1	0.22	3.71
1.75	0.053	9	4	22	0.90	1	3	1.837	branch1	1.00	3.71
1.5	0.043	9	4	22	0.90	1	3	1.813	branch1	1.00	2.70
2.0	0.063	9	4	22	0.90	2	4	1.861	branch1	0.24	4.71
2.0	0.063	9	4	22	0.90	1	3	1.861	branch1	1.00	4.71
1.75	0.056	11	1	23	0.90	2	4	2.005	branch1	1.00	3.72
2.0	0.063	9	4	22	0.90	2	4	1.588	branch2	0.58	0.60
1.5	0.044	10	3	23	0.92	2	4	1.901	branch1	1.00	2.79
1.5	0.044	10	3	23	0.92	1	3	1.901	branch1	0.19	2.79
1.75	0.055	10	3	23	0.92	2	4	1.933	branch1	1.00	3.97
1.75	0.055	10	3	23	0.92	1	3	1.933	branch1	0.20	3.97
2.0	0.076	10	3	23	0.92	2	4	1.941	branch1	1.00	4.74
1.5	0.034	12	0	24	0.94	0	1	1.139	branch1	0.27	0.76
2.0	0.081	12	0	24	0.94	1	2	2.013	branch1	1.00	4.20
2.0	0.081	12	0	24	0.94	1	2	1.139	branch2	1.00	1.25
1.5	0.034	12	0	24	0.94	0	1	1.139	branch1	0.97	0.76
1.5	0.034	12	0	24	0.94	1	2	1.139	branch1	1.00	0.76
1.75	0.061	12	0	24	0.94	1	2	1.981	branch1	1.00	2.39
1.75	0.061	12	0	24	0.94	0	1	1.139	branch2	0.47	1.46
1.75	0.061	12	0	24	0.94	1	2	1.139	branch2	1.00	1.46
2.0	0.081	12	0	24	0.94	0	1	1.139	branch2	0.37	1.25
1.75	0.061	11	2	24	0.95	1	2	1.933	branch1	1.00	2.34
1.75	0.061	11	2	24	0.95	0	1	1.195	branch2	0.13	1.14
2.0	0.080	11	2	24	0.95	1	2	1.981	branch1	1.00	4.13
2.0	0.080	11	2	24	0.95	1	2	1.981	branch1	0.11	4.13
2.0	0.080	11	2	24	0.95	0	1	1.211	branch2	0.11	0.88
2.0	0.080	11	2	24	0.95	1	2	1.211	branch2	0.94	0.88
1.75	0.061	11	2	24	0.95	1	2	1.195	branch2	1.00	1.14
1.25	0.032	8	6	22	0.95	2	4	1.652	branch1	0.52	2.35
1.5	0.042	8	6	22	0.95	2	4	1.701	branch1	0.64	3.68
2.0	0.071	8	6	22	0.95	1	3	1.805	branch1	0.97	6.44
2.0	0.071	8	6	22	0.95	3	5	1.805	branch1	0.57	6.44
1.75	0.051	8	6	22	0.95	2	4	1.749	branch1	0.67	4.83
1.5	0.042	8	6	22	0.95	1	3	1.701	branch1	1.00	3.68
1.75	0.051	8	6	22	0.95	1	3	1.749	branch1	1.00	4.83
1.25	0.032	8	6	22	0.95	1	3	1.652	branch1	1.00	2.35
1.75	0.061	7	7	21	0.95	1	2	1.709	branch1	1.00	3.12
2.0	0.071	8	6	22	0.95	2	4	1.805	branch1	1.00	6.44
2.0	0.078	7	7	21	0.95	1	2	1.797	branch1	1.00	4.64
2.0	0.078	7	7	21	0.95	0	1	1.797	branch1	0.13	4.64
1.75	0.061	7	7	21	0.95	0	1	1.709	branch1	0.20	3.12
2.0	0.074	9	5	23	0.96	2	4	1.837	branch1	0.84	5.64
2.0	0.074	9	5	23	0.96	3	5	1.837	branch1	0.20	5.64
1.75	0.054	9	5	23	0.96	1	3	1.813	branch1	0.29	4.53
1.75	0.054	9	5	23	0.96	2	4	1.813	branch1	0.83	4.53
1.5	0.042	9	5	23	0.96	1	3	1.773	branch1	0.31	3.21
1.5	0.042	9	5	23	0.96	2	4	1.773	branch1	0.84	3.21
2.0	0.061	12	1	25	0.98	2	4	1.243	branch2	0.92	0.71
1.75	0.049	12	1	25	0.98	1	3	1.725	branch1	1.00	3.57
1.5	0.041	12	1	25	0.98	1	3	1.709	branch1	1.00	2.81
2.0	0.078	10	4	24	0.98	1	2	1.877	branch1	0.19	4.24
2.0	0.078	10	4	24	0.98	1	2	1.877	branch1	1.00	4.24
1.75	0.049	12	1	25	0.98	2	4	1.725	branch1	0.13	3.57
1.75	0.049	12	1	25	0.98	2	4	1.235	branch2	1.00	0.65
2.0	0.061	12	1	25	0.98	1	3	1.725	branch1	1.00	3.31
1.5	0.041	12	1	25	0.98	2	4	1.709	branch1	0.12	2.81
2.0	0.069	11	3	25	1.00	2	4	1.307	branch1	0.62	0.68
1.5	0.041	11	3	25	1.00	1	3	1.660	branch1	1.00	3.13
1.75	0.049	11	3	25	1.00	2	4	1.684	branch1	0.18	4.03
1.75	0.049	11	3	25	1.00	2	4	1.324	branch2	0.79	0.61
1.5	0.041	11	3	25	1.00	2	4	1.660	branch1	0.17	3.13
1.25	0.032	11	3	25	1.00	1	3	1.636	branch1	1.00	2.13
1.25	0.032	11	3	25	1.00	2	4	1.636	branch1	0.14	2.13
1.75	0.049	11	3	25	1.00	1	3	1.684	branch1	1.00	4.03
1.25	0.031	8	7	23	1.02	1	3	1.588	branch1	0.73	2.67
1.25	0.031	8	7	23	1.02	2	4	1.588	branch1	1.00	2.67
1.25	0.032	13	0	26	1.02	2	4	1.733	branch1	1.00	2.38
1.25	0.032	13	0	26	1.02	1	3	1.733	branch1	0.18	2.38
1.5	0.042	13	0	26	1.02	2	4	1.757	branch1	1.00	3.73
1.75	0.061	9	6	24	1.02	1	2	1.684	branch1	1.00	3.36
2.0	0.075	9	6	24	1.02	1	2	1.749	branch1	0.42	5.07
2.0	0.075	9	6	24	1.02	1	2	1.749	branch1	1.00	5.07
1.5	0.040	8	7	23	1.02	2	4	1.636	branch1	0.72	4.03
1.5	0.042	13	0	26	1.02	1	3	1.757	branch1	0.23	3.73
1.75	0.059	13	0	26	1.02	2	4	1.773	branch1	1.00	4.40
1.75	0.059	13	0	26	1.02	1	3	1.773	branch1	0.14	4.40
2.0	0.074	13	0	26	1.02	2	4	1.789	branch1	1.00	5.20
2.0	0.074	13	0	26	1.02	1	3	1.789	branch1	0.11	5.20
1.75	0.061	9	6	24	1.02	1	2	1.684	branch1	0.33	3.36
1.5	0.040	8	7	23	1.02	1	3	1.636	branch1	0.57	4.03
2.0	0.074	13	0	26	1.02	1	3	1.051	branch2	1.00	0.61
1.75	0.054	8	7	23	1.02	1	3	1.684	branch1	0.47	5.44
1.75	0.054	8	7	23	1.02	3	5	1.684	branch1	0.11	5.44
2.0	0.072	8	7	23	1.02	2	4	1.725	branch1	0.75	6.64
2.0	0.074	13	0	26	1.02	3	5	1.051	branch2	0.72	0.61
2.0	0.072	8	7	23	1.02	3	5	1.725	branch1	0.46	6.64
1.75	0.054	8	7	23	1.02	2	4	1.684	branch1	0.73	5.44
2.0	0.073	12	2	26	1.03	3	5	1.131	branch2	0.62	0.55
2.0	0.073	12	2	26	1.03	2	4	1.765	branch1	1.00	5.45
2.0	0.073	12	2	26	1.03	3	5	1.765	branch1	0.10	5.45
1.25	0.032	12	2	26	1.03	1	3	1.701	branch1	0.18	2.42
1.5	0.041	12	2	26	1.03	2	4	1.733	branch1	1.00	3.80
1.5	0.041	12	2	26	1.03	1	3	1.733	branch1	0.21	3.80
1.25	0.032	12	2	26	1.03	2	4	1.701	branch1	1.00	2.42
1.75	0.059	12	2	26	1.03	2	4	1.749	branch1	1.00	4.55
2.0	0.074	10	5	25	1.04	2	4	1.725	branch1	0.60	4.91
1.25	0.031	10	5	25	1.04	1	3	1.556	branch1	1.00	2.65
1.25	0.031	10	5	25	1.04	2	4	1.556	branch1	0.31	2.65
1.5	0.040	10	5	25	1.04	1	3	1.588	branch1	1.00	3.86
1.5	0.040	10	5	25	1.04	2	4	1.588	branch1	0.41	3.86
1.75	0.049	10	5	25	1.04	1	3	1.628	branch1	1.00	4.97
1.75	0.049	10	5	25	1.04	2	4	1.628	branch1	0.52	4.97
2.0	0.074	10	5	25	1.04	3	5	1.725	branch1	1.00	4.91
2.0	0.074	10	5	25	1.04	3	5	1.725	branch1	1.00	4.91
2.0	0.074	10	5	25	1.04	1	3	1.725	branch1	0.45	4.91
2.0	0.074	10	5	25	1.04	2	4	1.725	branch1	0.60	4.91
2.0	0.074	10	5	25	1.04	1	3	1.725	branch1	0.45	4.91
1.25	0.031	11	4	26	1.05	1	3	1.628	branch1	0.24	2.59
1.5	0.040	11	4	26	1.05	1	3	1.668	branch1	0.29	4.02
1.75	0.058	11	4	26	1.05	2	4	1.684	branch1	1.00	4.98
1.25	0.031	11	4	26	1.05	2	4	1.628	branch1	1.00	2.59
1.75	0.058	11	4	26	1.05	3	5	1.684	branch1	0.13	4.98
2.0	0.072	11	4	26	1.05	2	4	1.709	branch1	1.00	6.08
1.5	0.040	11	4	26	1.05	2	4	1.668	branch1	1.00	4.02
2.0	0.072	11	4	26	1.05	3	5	1.709	branch1	0.15	6.08
2.0	0.077	13	1	27	1.06	1	2	1.797	branch1	1.00	5.87
2.0	0.077	13	1	27	1.06	8	7	1.067	branch2	0.25	0.65
2.0	0.077	13	1	27	1.06	1	2	1.067	branch2	1.00	0.65
2.0	0.077	13	1	27	1.06	0	1	1.067	branch2	0.14	0.65
2.0	0.077	13	1	27	1.06	10	11	1.797	branch1	0.35	5.87
2.0	0.077	13	1	27	1.06	1	2	1.797	branch1	0.13	5.87
1.75	0.062	13	1	27	1.06	9	8	1.051	branch2	0.11	0.84
1.75	0.062	13	1	27	1.06	8	7	1.051	branch2	0.23	0.84
1.75	0.062	13	1	27	1.06	1	2	1.051	branch2	1.00	0.84
1.75	0.062	13	1	27	1.06	10	11	1.765	branch1	0.32	4.18
1.75	0.062	13	1	27	1.06	0	1	1.051	branch2	0.20	0.84
1.75	0.062	13	1	27	1.06	1	2	1.765	branch1	1.00	4.18
1.5	0.044	13	1	27	1.06	9	8	1.059	branch1	0.16	1.13
1.5	0.044	13	1	27	1.06	8	7	1.059	branch1	0.19	1.13
1.5	0.044	13	1	27	1.06	1	2	1.059	branch1	1.00	1.13
1.5	0.044	13	1	27	1.06	0	1	1.059	branch1	0.29	1.13
1.75	0.062	13	1	27	1.06	1	2	1.765	branch1	0.10	4.18
2.0	0.075	12	3	27	1.08	1	2	1.749	branch1	0.17	5.89
2.0	0.075	12	3	27	1.08	1	2	1.749	branch1	1.00	5.89
1.75	0.061	12	3	27	1.08	1	2	1.717	branch1	0.14	4.15
1.75	0.061	12	3	27	1.08	1	2	1.717	branch1	1.00	4.15
1.5	0.038	9	7	25	1.09	1	3	1.532	branch1	1.00	4.61
1.75	0.054	9	7	25	1.09	3	5	1.580	branch1	0.61	6.07
1.75	0.054	9	7	25	1.09	1	3	1.580	branch1	0.52	6.07
1.75	0.054	9	7	25	1.09	2	4	1.580	branch1	0.76	6.07
1.5	0.038	9	7	25	1.09	2	4	1.532	branch1	0.64	4.61
1.5	0.045	8	8	24	1.09	1	2	1.492	branch1	1.00	3.04
1.5	0.045	8	8	24	1.09	0	1	1.492	branch1	0.19	3.04
1.0	0.021	9	7	25	1.09	2	4	1.420	branch1	0.55	1.69
1.0	0.021	9	7	25	1.09	1	3	1.420	branch1	1.00	1.69
2.0	0.076	9	7	25	1.09	2	4	1.636	branch1	0.57	6.82
1.25	0.030	9	7	25	1.09	1	3	1.484	branch1	1.00	3.35
2.0	0.076	9	7	25	1.09	3	5	1.636	branch1	1.00	6.82
1.25	0.030	9	7	25	1.09	2	4	1.484	branch1	0.61	3.35
1.75	0.060	8	8	24	1.09	0	1	1.580	branch1	0.12	4.76
1.75	0.060	8	8	24	1.09	1	2	1.580	branch1	1.00	4.76
2.0	0.079	14	0	28	1.10	2	4	1.027	branch2	1.00	1.55
1.75	0.047	13	2	28	1.10	2	4	1.524	branch1	0.19	2.58
2.0	0.079	13	2	28	1.10	3	5	1.741	branch1	1.00	4.45
1.25	0.030	14	0	28	1.10	1	3	1.516	branch1	1.00	2.59
1.25	0.030	14	0	28	1.10	2	4	1.516	branch1	0.19	2.59
1.5	0.038	14	0	28	1.10	1	3	1.532	branch1	1.00	3.49
1.5	0.038	14	0	28	1.10	2	4	1.532	branch1	0.25	3.49
1.5	0.038	14	0	28	1.10	2	4	1.131	branch2	1.00	0.58
1.75	0.046	14	0	28	1.10	1	3	1.540	branch1	1.00	3.71
1.75	0.046	14	0	28	1.10	2	4	1.540	branch1	0.30	3.71
1.75	0.046	14	0	28	1.10	2	4	1.155	branch2	1.00	0.65
2.0	0.079	14	0	28	1.10	3	5	1.765	branch1	1.00	4.42
2.0	0.079	14	0	28	1.10	2	4	1.765	branch1	0.11	4.42
2.0	0.079	14	0	28	1.10	1	3	1.027	branch2	0.14	1.55
2.0	0.079	14	0	28	1.10	1	2	1.027	branch2	0.17	1.55
2.0	0.079	14	0	28	1.10	4	6	1.027	branch2	0.23	1.55
1.75	0.047	13	2	28	1.10	2	4	1.187	branch2	1.00	0.66
1.5	0.038	13	2	28	1.10	1	3	1.516	branch1	1.00	3.63
1.5	0.038	13	2	28	1.10	2	4	1.516	branch1	0.17	3.63
1.5	0.038	13	2	28	1.10	2	4	1.163	branch2	1.00	0.58
1.25	0.030	13	2	28	1.10	1	3	1.500	branch1	1.00	2.69
1.75	0.047	13	2	28	1.10	1	3	1.524	branch1	1.00	2.58
2.0	0.079	13	2	28	1.10	4	6	1.099	branch2	0.23	0.99
1.25	0.030	13	2	28	1.10	2	4	1.500	branch1	0.15	2.69
1.75	0.056	10	6	26	1.10	2	4	1.604	branch1	1.00	5.64
2.0	0.071	10	6	26	1.10	3	5	1.636	branch1	0.35	7.00
1.75	0.056	10	6	26	1.10	1	3	1.604	branch1	0.15	5.64
1.25	0.030	10	6	26	1.10	1	3	1.532	branch1	0.40	3.01
1.25	0.030	10	6	26	1.10	2	4	1.532	branch1	1.00	3.01
1.75	0.056	10	6	26	1.10	3	5	1.604	branch1	0.21	5.64
1.5	0.039	10	6	26	1.10	2	4	1.572	branch1	1.00	4.46
1.5	0.039	10	6	26	1.10	1	3	1.572	branch1	0.45	4.46
2.0	0.071	10	6	26	1.10	2	4	1.636	branch1	1.00	7.00
2.0	0.073	11	5	27	1.11	1	2	1.676	branch1	0.21	6.24
2.0	0.073	11	5	27	1.11	10	9	0.088	branch2	0.51	0.02
1.75	0.060	11	5	27	1.11	1	2	1.628	branch1	0.24	4.43
1.75	0.060	11	5	27	1.11	1	2	1.628	branch1	0.93	4.43
1.5	0.045	11	5	27	1.11	1	2	1.564	branch1	0.20	2.51
1.5	0.045	11	5	27	1.11	1	2	1.564	branch1	1.00	2.51
2.0	0.073	11	5	27	1.11	1	2	1.676	branch1	0.72	6.24
1.5	0.037	12	4	28	1.13	1	3	1.484	branch1	1.00	4.11
1.5	0.037	12	4	28	1.13	2	4	1.484	branch1	0.39	4.11
1.5	0.037	12	4	28	1.13	1	3	1.484	branch1	1.00	4.11
2.0	0.079	12	4	28	1.13	2	4	1.668	branch1	0.17	4.89
1.75	0.052	12	4	28	1.13	3	5	1.580	branch1	1.00	4.00
1.75	0.052	12	4	28	1.13	3	5	1.580	branch1	1.00	4.00
1.75	0.052	12	4	28	1.13	1	3	1.580	branch1	0.68	4.00
1.75	0.052	12	4	28	1.13	1	3	1.580	branch1	0.68	4.00
1.75	0.052	12	4	28	1.13	2	4	1.580	branch1	0.59	4.00
1.75	0.052	12	4	28	1.13	2	4	1.580	branch1	0.59	4.00
1.25	0.030	12	4	28	1.13	2	4	1.452	branch1	0.29	3.02
1.25	0.030	12	4	28	1.13	1	3	1.452	branch1	1.00	3.02
1.5	0.037	12	4	28	1.13	2	4	1.484	branch1	0.39	4.11
1.75	0.052	12	4	28	1.13	2	4	1.235	branch2	1.00	0.59
2.0	0.079	12	4	28	1.13	3	5	1.668	branch1	1.00	4.89
2.0	0.079	12	4	28	1.13	1	3	1.211	branch2	0.30	0.97
1.75	0.052	12	4	28	1.13	1	3	1.235	branch2	0.21	0.59
2.0	0.079	12	4	28	1.13	2	4	1.211	branch2	1.00	0.97
2.0	0.079	12	4	28	1.13	4	6	1.211	branch2	0.25	0.97
1.5	0.042	14	1	29	1.14	2	4	1.572	branch1	1.00	4.39
1.25	0.030	14	1	29	1.14	2	4	1.548	branch1	1.00	3.31
2.0	0.069	14	1	29	1.14	3	5	1.003	branch2	0.90	0.55
1.75	0.057	14	1	29	1.14	2	4	1.588	branch1	1.00	5.24
1.75	0.057	14	1	29	1.14	3	5	0.995	branch2	1.00	0.51
2.0	0.069	14	1	29	1.14	2	4	1.604	branch1	1.00	6.18
1.25	0.030	14	1	29	1.14	1	3	1.548	branch1	0.20	3.31
1.25	0.029	9	8	26	1.15	2	4	1.436	branch1	0.88	3.65
1.25	0.029	9	8	26	1.15	1	3	1.436	branch1	0.72	3.65
2.0	0.068	13	3	29	1.15	3	5	1.091	branch2	0.67	0.51
2.0	0.076	9	8	26	1.15	4	6	1.572	branch1	0.25	7.83
2.0	0.068	13	3	29	1.15	3	5	1.580	branch1	0.13	6.58
2.0	0.076	9	8	26	1.15	2	4	1.572	branch1	0.55	7.83
1.75	0.055	9	8	26	1.15	3	5	1.516	branch1	0.54	6.38
2.0	0.068	13	3	29	1.15	2	4	1.580	branch1	1.00	6.58
1.75	0.055	9	8	26	1.15	2	4	1.516	branch1	0.83	6.38
1.75	0.056	13	3	29	1.15	3	5	1.556	branch1	0.12	5.48
1.5	0.038	9	8	26	1.15	2	4	1.484	branch1	0.81	5.01
1.5	0.038	9	8	26	1.15	1	3	1.484	branch1	0.64	5.01
1.25	0.030	13	3	29	1.15	2	4	1.516	branch1	1.00	3.41
1.0	0.021	9	8	26	1.15	1	3	1.372	branch1	0.76	2.04
1.25	0.030	13	3	29	1.15	1	3	1.516	branch1	0.24	3.41
1.5	0.042	13	3	29	1.15	2	4	1.540	branch1	1.00	4.54
1.75	0.056	13	3	29	1.15	2	4	1.556	branch1	1.00	5.48
1.0	0.021	9	8	26	1.15	2	4	1.372	branch1	1.00	2.04
2.0	0.076	9	8	26	1.15	3	5	1.572	branch1	0.56	7.83
2.0	0.071	10	7	27	1.16	1	2	1.588	branch1	0.53	7.04
1.75	0.058	10	7	27	1.16	1	2	1.532	branch1	0.47	5.26
1.5	0.045	10	7	27	1.16	0	1	1.468	branch1	0.12	3.41
1.5	0.045	10	7	27	1.16	1	2	1.468	branch1	0.41	3.41
1.75	0.058	10	7	27	1.16	1	2	1.532	branch1	1.00	5.26
2.0	0.071	10	7	27	1.16	1	2	1.588	branch1	1.00	7.04
1.5	0.045	10	7	27	1.16	1	2	1.468	branch1	1.00	3.41
1.75	0.059	15	0	30	1.17	1	2	1.612	branch1	1.00	5.59
1.75	0.059	15	0	30	1.17	1	2	1.612	branch1	0.15	5.59
2.0	0.074	15	0	30	1.17	1	2	1.636	branch1	1.00	7.11
2.0	0.074	15	0	30	1.17	1	2	1.636	branch1	0.16	7.11
1.5	0.046	15	0	30	1.17	1	2	1.572	branch1	1.00	3.68
1.5	0.046	15	0	30	1.17	1	2	1.572	branch1	0.12	3.68
1.25	0.029	11	6	28	1.17	2	4	1.396	branch1	0.39	3.58
2.0	0.078	11	6	28	1.17	4	6	1.259	branch2	0.35	0.84
2.0	0.078	11	6	28	1.17	3	5	1.580	branch1	0.75	6.03
2.0	0.078	11	6	28	1.17	4	6	1.580	branch1	0.18	6.03
1.75	0.055	11	6	28	1.17	3	5	1.524	branch1	1.00	5.31
1.75	0.055	11	6	28	1.17	2	4	1.524	branch1	0.37	5.31
1.5	0.037	11	6	28	1.17	1	3	1.436	branch1	1.00	4.83
1.5	0.037	11	6	28	1.17	2	4	1.436	branch1	0.43	4.83
1.25	0.029	11	6	28	1.17	1	3	1.396	branch1	1.00	3.58
1.0	0.021	11	6	28	1.17	1	3	1.356	branch1	1.00	2.10
1.0	0.021	11	6	28	1.17	2	4	1.356	branch1	0.34	2.10
1.5	0.046	14	2	30	1.18	1	2	1.548	branch1	0.13	3.67
2.0	0.073	14	2	30	1.18	1	2	1.620	branch1	0.16	7.17
1.75	0.059	14	2	30	1.18	1	2	1.596	branch1	0.16	5.58
1.75	0.059	14	2	30	1.18	1	2	1.596	branch1	1.00	5.58
1.0	0.021	12	5	29	1.18	1	3	1.404	branch1	0.28	1.90
1.0	0.021	12	5	29	1.18	2	4	1.404	branch1	1.00	1.90
1.25	0.029	12	5	29	1.18	1	3	1.460	branch1	0.35	3.61
1.5	0.046	14	2	30	1.18	1	2	1.548	branch1	1.00	3.67
1.25	0.029	12	5	29	1.18	2	4	1.460	branch1	1.00	3.61
2.0	0.072	12	5	29	1.18	2	4	1.556	branch1	0.99	7.50
2.0	0.072	12	5	29	1.18	4	6	1.556	branch1	0.13	7.50
2.0	0.072	12	5	29	1.18	3	5	1.556	branch1	0.25	7.50
1.75	0.056	12	5	29	1.18	2	4	1.508	branch1	1.00	6.01
1.5	0.042	12	5	29	1.18	3	5	1.484	branch1	0.13	4.86
1.5	0.042	12	5	29	1.18	1	3	1.484	branch1	0.12	4.86
1.5	0.042	12	5	29	1.18	2	4	1.484	branch1	1.00	4.86
1.75	0.056	12	5	29	1.18	3	5	1.508	branch1	0.21	6.01
2.0	0.073	14	2	30	1.18	1	2	1.620	branch1	1.00	7.17
1.75	0.058	13	4	30	1.21	1	2	1.548	branch1	0.21	5.72
